Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,29.2,53,12,52,13,11.29,-0.88,10.42,112.6,101.9,10.7,105,0.263,0.423,0.583,0.553,12.8,20.7,0.196,0.486,12.2,81.7,0.172,Fiserv Forum,549036,17711
2,Los Angeles Lakers,29.6,49,13,45,17,7.56,0.35,7.92,113.1,105.6,7.5,101,0.27,0.353,0.578,0.548,13.2,24.7,0.198,0.509,13.9,78.5,0.202,STAPLES Center,569910,18997
3,Los Angeles Clippers,27.4,43,20,43,20,6.24,0.35,6.59,113.2,107.1,6.1,101.9,0.294,0.368,0.573,0.531,12.8,24,0.232,0.502,12.3,77.1,0.209,STAPLES Center,610176,19068
4,Dallas Mavericks,26.1,39,26,44,21,6.14,-0.25,5.89,116.8,110.7,6.1,99.1,0.259,0.462,0.582,0.548,11.3,23.5,0.2,0.517,10.8,77.1,0.174,American Airlines Center,661794,20054
5,Toronto Raptors,26.6,46,18,44,20,6.45,-0.61,5.84,111.6,105.2,6.4,100.6,0.256,0.418,0.574,0.536,12.8,21.6,0.205,0.502,14.6,76.1,0.2,Scotiabank Arena,633456,19796
6,Boston Celtics,25.2,42,21,43,20,6.22,-0.54,5.68,112.9,106.7,6.2,99.3,0.255,0.382,0.567,0.529,12.1,23.8,0.204,0.509,13.6,77.5,0.214,TD Garden,610864,19090
7,Houston Rockets,29.1,39,24,38,25,3.71,0.08,3.8,113.8,110.2,3.6,103.3,0.286,0.488,0.578,0.538,12.5,22.5,0.225,0.528,13.4,75.6,0.194,Toyota Center,560403,18078
8,Denver Nuggets,25.6,43,21,39,25,3.25,-0.04,3.21,112.7,109.4,3.3,97.2,0.232,0.34,0.564,0.531,12.2,24.9,0.18,0.526,13,77.1,0.194,Pepsi Center,633153,19186
9,Utah Jazz,27.5,41,23,38,26,3.17,0.01,3.19,112.6,109.4,3.2,98.4,0.269,0.406,0.587,0.552,13.6,21.2,0.208,0.514,10.9,79,0.18,Vivint Smart Home Arena,567486,18306
10,Miami Heat,25.8,41,23,39,25,3.45,-0.6,2.86,112.7,109.3,3.4,98.2,0.301,0.411,0.588,0.549,13.5,20.5,0.234,0.522,12.3,80,0.208,AmericanAirlines Arena,610171,19683
11,Oklahoma City Thunder,25.6,40,24,37,27,2.45,0.32,2.77,111.6,109.1,2.5,98.6,0.292,0.345,0.577,0.534,12.3,19.2,0.233,0.52,12.4,76.8,0.164,Chesapeake Energy Arena,600699,18203
12,Philadelphia 76ers,26.4,38,26,36,28,1.97,0.07,2.04,110.1,108.1,2,98.8,0.25,0.359,0.561,0.529,12.7,23.6,0.187,0.522,12.8,80.3,0.211,Wells Fargo Center,619319,20644
13,Indiana Pacers,25.6,39,25,36,28,2.02,-0.45,1.57,110.2,108.2,2,98.5,0.218,0.312,0.565,0.533,12,20.3,0.171,0.513,12.9,77.1,0.193,Bankers Life Fieldhouse,511949,16514
14,New Orleans Pelicans,25.4,28,36,30,34,-0.83,1.13,0.3,110.8,111.6,-0.8,103.9,0.252,0.408,0.567,0.538,13.7,24.3,0.183,0.531,12.3,78.1,0.207,Smoothie King Center,528172,16505
15,Phoenix Suns,24.7,26,38,30,34,-1.14,0.33,-0.81,110.6,111.7,-1.1,101.4,0.273,0.361,0.573,0.529,13.3,22.2,0.225,0.542,14,78.3,0.222,Talking Stick Resort Arena,550633,15606
16,Orlando Magic,26,29,35,30,34,-1.06,0.13,-0.93,107.9,108.9,-1,98.3,0.249,0.36,0.539,0.503,11.3,22.3,0.191,0.534,13.4,79,0.168,Amway Center,529870,17093
17,Memphis Grizzlies,24,32,32,30,34,-1.02,0.04,-0.98,109.4,110.4,-1,102.8,0.231,0.341,0.56,0.529,13.1,23.3,0.176,0.52,12.5,77.7,0.213,FedEx Forum,507909,15872
18,Portland Trail Blazers,27.5,28,37,29,36,-1.88,0.52,-1.35,112.3,114.2,-1.9,100.7,0.24,0.371,0.565,0.529,11.5,22.1,0.191,0.524,11,74.9,0.203,Moda Center,608910,19642
19,Brooklyn Nets,26.5,29,34,30,33,-0.68,-0.69,-1.37,108.1,108.7,-0.6,101.2,0.268,0.42,0.551,0.516,13.4,23.5,0.2,0.506,10.9,77.7,0.182,Barclays Center,524907,16403
20,Sacramento Kings,27.1,28,36,28,36,-1.92,0.48,-1.45,109.7,111.6,-1.9,98.4,0.232,0.395,0.563,0.531,13,21.8,0.178,0.54,13.6,78.5,0.222,Golden 1 Center,520663,16796
21,San Antonio Spurs,27.9,26,36,27,35,-1.95,0.48,-1.47,111.8,113.7,-1.9,99.9,0.256,0.32,0.568,0.528,11,19.6,0.207,0.542,11.5,79.1,0.196,AT&T Center,532161,18350
22,Minnesota Timberwolves,24.8,19,44,24,39,-4.27,0.46,-3.82,108.1,112.2,-4.1,103.4,0.277,0.433,0.55,0.513,12.9,22.1,0.209,0.54,13.2,77.1,0.218,Target Center,466701,14584
23,Chicago Bulls,24.4,21,43,25,39,-3.2,-0.66,-3.86,106.6,109.8,-3.2,99.7,0.232,0.396,0.546,0.515,13.6,22.7,0.175,0.547,16.3,75.5,0.24,United Center,621515,18834
24,Detroit Pistons,25.9,20,45,26,39,-3.34,-0.75,-4.08,109,112.4,-3.4,97.6,0.26,0.381,0.561,0.529,13.9,22.7,0.194,0.541,12.7,76.1,0.184,Little Caesars Arena,509469,15294
25,Washington Wizards,25.4,23,40,24,39,-4.22,-0.73,-4.95,111.8,115.8,-4,102.8,0.268,0.362,0.566,0.528,12.1,22,0.21,0.56,14,74.8,0.229,Capital One Arena,517654,16699
26,New York Knicks,24.6,20,44,19,45,-6.63,0.07,-6.56,106.2,112.9,-6.7,98.4,0.26,0.319,0.528,0.499,12.6,26,0.18,0.541,12.3,78.4,0.22,Madison Square Garden (IV),620789,18812
27,Charlotte Hornets,24.4,22,42,18,46,-7.03,-0.17,-7.2,106.1,113.4,-7.3,95.9,0.251,0.399,0.538,0.504,13.3,23.7,0.188,0.546,13.1,74.3,0.161,Spectrum Center,478591,15428
28,Atlanta Hawks,24.1,20,46,18,48,-8.02,0.49,-7.53,107,114.7,-7.7,103,0.258,0.398,0.554,0.515,13.9,21.5,0.204,0.542,12.8,74.8,0.233,State Farm Arena,530060,16062
29,Cleveland Cavaliers,24.9,19,45,17,47,-7.94,0.37,-7.56,107.5,115.5,-8,98.7,0.226,0.363,0.552,0.522,14.6,24.7,0.171,0.56,11.6,77.6,0.165,Quicken Loans Arena,623576,17322
30,Golden State Warriors,24.4,15,49,16,48,-8.47,0.68,-7.79,105.1,113.5,-8.4,100.4,0.263,0.353,0.54,0.497,13.2,21.7,0.211,0.552,13.8,76.4,0.193,Chase Center,596112,18064
