Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,62,240.8,39,87.7,0.445,11.2,32.8,0.342,27.8,54.9,0.506,17.7,22.8,0.775,9.7,32.5,42.2,23.2,8.2,3.7,15.7,21.5,107
2,Boston Celtics,63,242,38.2,86.7,0.441,11.8,34.6,0.341,26.4,52,0.507,18.5,24.4,0.76,10.2,34.1,44.3,22.2,7,5.5,15.4,20.6,106.8
3,Toronto Raptors,64,241.6,37.9,88.5,0.429,13,38.5,0.337,25,50,0.499,17.7,23,0.768,11.2,35.1,46.3,25.6,7,5.3,16.8,20,106.5
4,Orlando Magic,64,240.4,40.1,86.8,0.463,12.4,33.5,0.37,27.8,53.3,0.521,14.5,18.8,0.773,9.1,36,45.2,24.5,7,4.8,14.7,19.2,107.2
5,Indiana Pacers,64,241.6,39.4,88,0.448,11.4,33.1,0.345,28,54.9,0.51,17,21.6,0.788,10.1,34.6,44.7,23.2,6.8,4.5,14.5,18.7,107.3
6,Denver Nuggets,64,242.3,39.5,86.2,0.459,11.6,33.6,0.346,27.9,52.6,0.531,16.7,22.1,0.757,10,32.7,42.7,25,7.1,4.5,14.4,20.1,107.4
7,Philadelphia 76ers,64,241.2,39.6,85.6,0.462,10.2,28.8,0.354,29.3,56.8,0.517,18,24.3,0.743,8.6,33.4,42,22.7,6.9,3.9,14.1,20.2,107.4
8,Utah Jazz,64,240.4,40.3,89.3,0.452,11.1,31.6,0.351,29.3,57.7,0.507,16.1,20.9,0.769,9.6,33,42.6,21.2,7.8,4.6,12,20.6,107.9
9,Los Angeles Clippers,63,241.2,39.4,90.4,0.436,12,35.2,0.341,27.4,55.2,0.496,18.9,24.8,0.761,11,34.7,45.7,23.5,7.9,5,14.3,22.9,109.7
10,Oklahoma City Thunder,64,241.6,41.1,90,0.456,11.4,33.2,0.344,29.6,56.8,0.522,14.8,18.6,0.795,10.4,34,44.4,23.1,6.7,4.1,14,22.8,108.3
11,Miami Heat,64,243.5,38.9,87,0.447,13.1,38,0.344,25.8,49,0.527,18.1,23.3,0.776,9.1,33,42,24.8,7.5,4.2,13.7,21.7,108.9
12,Milwaukee Bucks,65,240.8,38.7,93.8,0.413,13.7,38.6,0.356,25,55.2,0.453,16.2,20.6,0.784,9.4,36.3,45.7,23.8,7.4,4.6,14.3,21.3,107.4
13,Brooklyn Nets,63,243.2,41.2,93.3,0.442,12.1,34.5,0.349,29.2,58.8,0.496,17,22.3,0.764,10.8,35.2,46,22.4,7.8,5.4,12.6,20.8,111.6
14,Charlotte Hornets,64,242.3,41.7,87.6,0.476,12.3,34.9,0.353,29.4,52.7,0.558,14.1,18.6,0.757,11,35.1,46.1,26.6,8,5,14.4,20.6,109.8
15,Chicago Bulls,64,241.2,39.5,82.6,0.478,11.3,31.8,0.354,28.3,50.8,0.556,19.8,26.1,0.759,10.2,35.5,45.7,25.4,8.1,5.9,18.3,19.2,110
16,Sacramento Kings,64,242.3,39.9,85.3,0.468,12.3,34.6,0.355,27.6,50.7,0.545,18.9,23.8,0.793,9,34.5,43.5,24.5,7.8,4.3,15.1,19.3,110.9
17,San Antonio Spurs,62,242.8,42.2,89.8,0.47,13.1,34.7,0.376,29.1,55.1,0.528,17.6,22.9,0.77,9.4,36.3,45.7,25.8,6.7,4.4,13,19.7,115
18,New York Knicks,64,241.6,39.8,85.9,0.463,13.3,34.8,0.381,26.5,51.1,0.519,18.9,25.4,0.745,9.5,34.7,44.2,24.3,7.2,5.1,13.6,19.6,111.8
19,Dallas Mavericks,65,241.5,41.4,91.4,0.453,11.8,34.3,0.343,29.6,57.1,0.519,15.9,21,0.757,10.8,34.7,45.5,23.6,7,3.9,12.2,20.9,110.4
20,Detroit Pistons,65,241.9,41.9,87.4,0.48,10.6,29.5,0.36,31.3,57.9,0.541,16.1,20.7,0.777,10.1,33.3,43.4,24.6,8.2,5.6,14,19.8,110.6
21,Houston Rockets,63,241.2,42.2,91.6,0.461,12.2,35.2,0.348,30,56.4,0.532,17.8,23.3,0.761,11.2,36,47.1,25.4,7.9,5,15.8,20.8,114.4
22,Memphis Grizzlies,64,240.4,40.8,90.7,0.45,12.8,35.2,0.362,28,55.5,0.505,19.3,24.6,0.784,10.4,34.6,45,24.8,7.9,5.4,14.5,19.6,113.6
23,Phoenix Suns,64,241.2,41.3,87.2,0.474,11.8,32.1,0.366,29.6,55.1,0.537,19.4,24.8,0.781,9.2,34.4,43.6,23.8,8.1,5.6,16,22.9,113.8
24,Golden State Warriors,64,242,42.1,88.6,0.476,13.4,34.6,0.387,28.7,53.9,0.533,17.1,21.9,0.78,10.2,36.3,46.5,26.1,8.3,5,15.7,20.1,114.8
25,Cleveland Cavaliers,64,242,43.9,89.5,0.49,12.4,33,0.376,31.5,56.5,0.557,14.7,19.2,0.767,9.7,33.2,42.8,26.2,9.5,6.3,12.9,19.6,114.9
26,Minnesota Timberwolves,63,243.2,43.2,90.6,0.477,11.5,31.8,0.362,31.7,58.8,0.538,19.7,25.2,0.783,10.2,37.4,47.6,24.4,7.8,5.6,15.5,21.6,117.6
27,New Orleans Pelicans,64,242.3,42.9,92.2,0.465,12.1,33.9,0.355,30.9,58.3,0.529,19.1,24.4,0.782,10,35.1,45.1,24.6,8.6,4.8,14.5,20.6,117
28,Portland Trail Blazers,65,240.8,41.7,92.2,0.452,13.3,35.3,0.377,28.4,56.9,0.498,18.7,24.3,0.77,11.9,35.7,47.6,24.7,6.9,5,12.7,19.8,115.4
29,Washington Wizards,63,241.2,43.4,88.7,0.489,12.6,33.3,0.378,30.9,55.4,0.557,20.3,26.3,0.773,10.7,35.8,46.4,25.2,7.5,5.1,16.3,22.3,119.7
30,Atlanta Hawks,66,242.7,43.2,90.7,0.477,11.9,32.8,0.363,31.3,57.8,0.541,21.1,27.3,0.772,11.2,35.8,47,24.9,8.9,6.3,15.1,20.9,119.5
